"","Article.ID","Statement.ID","Stat.ID","Journal.ID","Reference","Link","Type.of.statistics","t","N1","N2","p","Page.number","Associated.statistics","Negative.statement","Category"
"121",94,1,1,1,"Potter, M. C., & Hagmann, C. E. (2014). Banana or fruit? Detection and recognition across categorical levels in RSVP. Psychonomic Bulletin & Review, 22(2), 578585. https://doi.org/10.3758/s13423-014-0692-4
","http://link.springer.com/article/10.3758/s13423-014-0692-4","ANOVA",NA,NA,NA,"0.051","581","Separate analyses of the before and after groups showed a sizable advantage of the basic level in the before group, F(1, 15) = 13.78, p = .002, <U+03B7>G2 = .064, and a marginal advantage in the after group, F(1, 15) = 4.5, p = .051, <U+03B7>G2 = .006.","In the name-after group, performance on the two category levels did not differ significantly; this suggests that encoding had occurred at the basic level during presentation, allowing the superordinate category to be inferred.","Incorrect-frequentist  whole population"
"122",95,1,1,2,"Proudfoot, D., Kay, A. C., & Koval, C. Z. (2015). A Gender Bias in the Attribution of Creativity: Archival and Experimental Evidence for the Perceived Association Between Masculinity and Creative Thinking. Psychological Science, 26(11), 17511761. http://doi.org/10.1177/0956797615598739
","http://pss.sagepub.com/content/26/11/1751.abstract","ANOVA",NA,NA,NA,"0.19","1758","In contrast, no effect of condition emerged for the female target who acted in an identical way (risky-decision condition: M = 4.98, SD = 1.57; baseline condition: M = 5.41, SD = 1.57), F(1, 121) = 1.74, p = .19.","Finally, we observed that stereotypically masculine behavior enhances a man’s perceived creativity, whereas identical behavior does not enhance a woman’s perceived creativity (Study 5).","Incorrect-frequentist  whole population"
"123",96,1,1,2,"Rahnev, D., Koizumi, A., McCurdy, L. Y., D’Esposito, M., & Lau, H. (2015). Confidence Leak in Perceptual Decision Making. Psychological Science, 26(11), 16641680. http://doi.org/10.1177/0956797615595037
","http://pss.sagepub.com/content/26/11/1664.abstract","Bayesian analysis",NA,NA,NA,NA,NA,NA,"This confidence leak could not be explained by response priming or attentional fluctuations.","Bayesian-analysis"
"124",97,1,1,1,"Robidoux, S., & Besner, D. (2015). Conflict resolved: On the role of spatial attention in reading and color naming tasks. Psychonomic Bulletin & Review, 22(6), 17091716. doi:10.3758/s13423-015-0830-7","http://link.springer.com/article/10.3758/s13423-015-0830-7","Bayesian analysis",NA,NA,NA,NA,NA,"Comparing the two models produced a Bayes factor of 16.8, indicating very strong evidence against the distractor effect.","We then demonstrate that when spatial attention is appropriately captured, distractor words in unattended locations do not affect color identification. We conclude that there is no word identification without spatial attention.","Incorrect-frequentist  whole population"
"125",98,1,1,3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-33206-004","Independent Samples T-Test","0.43",69,67,"0.67","e76","Whereas the money prime increased mean score in the original study, the present study found a small, unreliable effect in the opposite direction, t(134) =0.43, p=.67 (Table 1, Figure 3).","We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen’s d = 0.03).","Correct-frequentist"
"126",98,1,2,3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-33206-004","Independent Samples T-Test","0.58",211,209,"0.56","e78","The money prime produced no effect, t(418)=0.58, p=.56 (Table 1, Figure 3).","We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen’s d = 0.03).","Correct-frequentist"
"127",98,1,3,3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-33206-004","Independent Samples T-Test","0.36",78,78,"0.72","e79","The priming effect was not statistically significant and in the opposite direction of the effect observed in the original study, t(154)=0.36, p=.72 (Table 1, Figure 3).","We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen’s d = 0.03).","Correct-frequentist"
"128",98,1,4,3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-33206-004","Independent Samples T-Test","0.76",50,66,"0.46","e79","The U.S. residents did not show a money priming effect, t(114)=0.76, p=.46 (Table 1, Figure 3). The effect size (d) was 0.14, and its 95% CI (-0.23, 0.50) excludes the effect size of 0.70 observed in the original study (see Figure 4). R","We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen’s d = 0.03).","Correct-frequentist"
"129",98,1,5,3,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-33206-004","Independent Samples T-Test","0.37",117,111,"0.71","e79","Less importantly, and as in the original study, the non-U.S. sample also showed no evidence of money priming, t(226)=0.37, p=.71, d=.06, 95% CI=(-0.20, 0.32).","We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen’s d = 0.03).","Correct-frequentist"
"130",99,1,1,1,"Rueschemeyer, S.-A., Gardner, T., & Stoner, C. (2014). The Social N400 effect: how the presence of other listeners affects language comprehension. Psychonomic Bulletin & Review, 22(1), 128134. https://doi.org/10.3758/s13423-014-0654-x
","http://link.springer.com/article/10.3758/s13423-014-0654-x","Paired Samples T-Test","0.50",17,NA,"0.61","131","This hypothesis was confirmed in two paired samples t tests indicating a significant effect for IMPLAUS sentences, IMPLAUS < PLAUS, t(16) = 3.62, p < .005, r2 = .45, but no significant effect for CONTEXT sentences versus PLAUS sentences, t(16) = -.50, p = .61.","Crucially, in a second group of participants, we demonstrate that presenting exactly the same sentences to the participant alone (i.e. without a co-listener) results in no N400-effect.","Incorrect-frequentist  whole population"
"131",100,1,1,2,"Rutland, A., Hitti, A., Mulvey, K. L., Abrams, D., & Killen, M. (2015). When Does the In-Group Like the Out-Group? Bias Among Children as a Function of Group Norms. Psychological Science, 26(6), 834842. http://doi.org/10.1177/0956797615572758
","http://pss.sagepub.com/content/26/6/834.abstract","Post-hoc T-Test",NA,NA,NA,"0.71","837","In contrast, participants rated the nontraditional deviant act (i.e., not wearing the shirt when the group did) by the in-group peer (M = 3.24, SD = 1.42) and the out-group peer (M = 3.29, SD = 1.47) as equally unacceptable, t(460) = -.37, p = .71.","The findings demonstrated, for the first time, that children preferred out-group over in-group deviance only when the in-group peer’s deviance was in line with the generic norm and a threat to their group’s identity. [...] Our findings suggest that children’s intergroup attitudes are influenced by how the behavior of their peers matches different levels of group norms.","Incorrect-frequentist  whole population"
"132",101,1,1,3,"Ryskin, R. A., Benjamin, A. S., Tullis, J., & Brown-Schmidt, S. (2015). Perspective-taking in comprehension, production, and memory: An individual differences approach. Journal of Experimental Psychology: General, 144(5), 898915. doi:10.1037/xge0000093","http://psycnet.apa.org/journals/xge/144/5/898/","Correlation",NA,NA,NA,"0.05","907","Perspective-taking in production was marginally correlated with perspective-taking in cue generation, r=.16, p=.05.","Surprisingly, there was little variance common to the 3 tasks, a result that suggests that perspective-taking is not domain-general.","Incorrect-frequentist  whole population"
"133",102,1,1,1,"Samuel, A. G., & Frost, R. (2015). Lexical support for phonetic perception during nonnative spoken word recognition. Psychonomic Bulletin & Review, 22(6), 17461752. doi:10.3758/s13423-015-0847-y","http://link.springer.com/article/10.3758/s13423-015-0847-y","Paired Samples T-Test","1.165",23,NA,"0.26","1749","As Fig. 1 shows, there was no significant shift for the native Hebrew speakers [t(22) = 1.165, n.s.].","When subtle acoustic cues in the stimuli worked against the lexical context, these nonnative speakers showed no evidence of lexical guidance of phonetic perception.","Incorrect-frequentist  current sample"
"134",102,2,1,1,"Samuel, A. G., & Frost, R. (2015). Lexical support for phonetic perception during nonnative spoken word recognition. Psychonomic Bulletin & Review, 22(6), 17461752. doi:10.3758/s13423-015-0847-y","http://link.springer.com/article/10.3758/s13423-015-0847-y","Paired Samples T-Test","0.387",17,NA,"0.7","1751","With both conflicting [t(16) = 0.387, n.s.] and normal [t(18) = 0.15, n.s.] coarticulation, these less-proficient nonnative listeners showed no evidence of being able to use lexical support in phonetic encoding.","In contrast, native Arabic speakers, who were less proficient in English than the native Hebrew speakers, showed no ability to use lexical activation to support phonetic perception, even without any conflicting cues.","Incorrect-frequentist  current sample"
"135",102,2,2,1,"Samuel, A. G., & Frost, R. (2015). Lexical support for phonetic perception during nonnative spoken word recognition. Psychonomic Bulletin & Review, 22(6), 17461752. doi:10.3758/s13423-015-0847-y","http://link.springer.com/article/10.3758/s13423-015-0847-y","Paired Samples T-Test","0.15",19,NA,"0.76","1751","With both conflicting [t(16) = 0.387, n.s.] and normal [t(18) = 0.15, n.s.] coarticulation, these less- proficient nonnative listeners showed no evidence of being able to use lexical support in phonetic encoding.","In contrast, native Arabic speakers, who were less proficient in English than the native Hebrew speakers, showed no ability to use lexical activation to support phonetic perception, even without any conflicting cues.","Incorrect-frequentist  current sample"
"136",103,1,1,1,"Santiesteban, I., Shah, P., White, S., Bird, G., & Heyes, C. (2015). Mentalizing or submentalizing in a communication task? Evidence from autism and a camera control. Psychonomic Bulletin & Review, 22(3), 844849.","http://link.springer.com/article/10.3758/s13423-014-0716-0","ANOVA",NA,NA,NA,"0.86","847","As is predicted by the submentalizing hypothesis, the main effect of condition [F(1.01, 36.51) = 0.034 , p = .86, <U+03B7>2 p = .001] and the Group × Condition interaction [F(1.01, 36.51) = 1.75, p = .20, <U+03B7>2p = .046] were not significant.","As predicted by the submentalizing account, we found that DT performance was unchanged when the director was replaced by an inanimate object, a camera, and that participants with autism spectrum disorders were unimpaired, relative to matched control participants, in both the director and camera conditions.","Incorrect-frequentist  current sample"
"137",104,1,1,1,"Sasin, E., Nieuwenstein, M., & Johnson, A. (2015). The role of depth of encoding in attentional capture. Psychonomic Bulletin & Review, 22(5), 14241429. doi:10.3758/s13423-015-0807-6","http://link.springer.com/article/10.3758/s13423-015-0807-6","Post-hoc T-Test",NA,NA,NA,"0.659","1427","A follow-up, two-tailed pairwise t test showed significantly lower performance when the critical picture preceded the digit (74.4%) than when the critical picture was presented after (79.4%) the digit in the deep encoding condition, t(58) = 2.78, p = .007, d = 0.36, but not in the shallow-encoding condition (76.8% vs. 75.9%, t(58) = 0.44, p = .659; see Fig. 1).","The results showed that this picture captured attention, thus resulting in an attentional blink for identification of a target digit, in the deep encoding condition but not in the shallow encoding condition","Incorrect-frequentist  current sample"
"138",105,1,1,2,"Schaerer, M., Swaab, R. I., & Galinsky, A. D. (2015). Anchors Weigh More Than Power: Why Absolute Powerlessness Liberates Negotiators to Achieve Better Outcomes. Psychological Science, 26(2), 170181. http://doi.org/10.1177/0956797614558718
","http://pss.sagepub.com/content/26/2/170.abstract","Planned Comparision T-Test",NA,NA,NA," 0.12","178","However, when the opponent’s BATNA was strong, the difference between the weak- and no-own-BATNA conditions was much smaller and no longer significant,t(371) = 1.56, p = .12, d = 1.10.","We established the role of anchoring through mediation by first offers and through moderation by showing that weak alternatives no longer led to worse outcomes when negotiators focused on a countervailing anchor or when negotiators faced an opponent with a strong alternative. 

Discussion:The effect of BATNA condition on outcomes was mediated by first-offer size and did not
emerge when negotiators focused on their target price.","Incorrect-frequentist  current sample"
"139",106,1,1,3,"Schmid, P. C., Kleiman, T., & Amodio, D. M. (2015). Power effects on cognitive control: Turning conflict into action. Journal of Experimental Psychology: General, 144(3), 655.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-17265-001","ANOVA",NA,NA,NA,"0.78","658","An analysis of PD-automatic scores did not reveal a significant effect of power condition, F(2, 121) = 0.25, p = .78, <U+03B7>p2< .01.","In Study 1, we demonstrated that power enhances behavioral performance on a response conflict task and that it does so by enhancing controlled processing rather than by reducing automatic processing.;","Incorrect-frequentist  whole population"
"140",107,1,1,1,"Schneider, V. I., Healy, A. F., Barshi, I., & Bourne Jr, L. E. (2015). Effects of difficulty, specificity, and variability on training to follow navigation instructions. Psychonomic Bulletin & Review, 22(3), 856862.","http://link.springer.com/article/10.3758/s13423-014-0715-1","ANOVA",NA,NA,NA,"0.144","858","The main effect of training condition was not significant, F(2, 61) = 2.00, MSE = 0.633, <U+03B7>2 = .062, p = .144.","The results support the advantages of both specificity and variability of training but do not support the hypothesis that difficult training of the form used here would lead to overall best performance at test.","Correct-frequentist"
"141",108,1,1,2,"Schroeder, J., & Epley, N. (2015). The Sound of Intellect: Speech Reveals a Thoughtful Mind, Increasing a Job Candidate’s Appeal. Psychological Science, 26(6), 877891. http://doi.org/10.1177/0956797615572906
","http://pss.sagepub.com/content/26/6/877.abstract","Post-hoc T-Test",NA,NA,NA,NA,"880","Evaluators who watched pitches did not evaluate the candidates’ intellect (M = 1.09, SD = 1.80) differently than evaluators who listened to pitches, t(157) < 1.","Adding visual cues to audio pitches did not alter evaluations of the candidates.","Incorrect-frequentist  current sample"
"142",109,1,1,3,"Slepian, M. L., Camp, N. P., & Masicampo, E. J. (2015). Exploring the secrecy burden: Secrets, preoccupation, and perceptual judgments. Journal of Experimental Psychology: General, 144(2), e31e42. https://doi.org/10.1037/xge0000052
","http://psycnet.apa.org/journals/xge/144/2/e31/","ANOVA",NA,NA,NA,"0.17","e34","This analysis revealed no main effect of condition (n“big” 47, n“small” = 51), F(1, 96 = 1.90, p = .17, 2 .02, no main effect of judgment-type, F(1, 96)=0.01, p=.99, <U+03B7>2=.01, and no interaction, F(1, 96) = 1.33, p = .25, <U+03B7>2 = .01.","The current work finds that a manipulation of secret “size” fails to reliably predict judged hill slant, whereas measurement and manipulation of preoccupation with a secret does reliably predict judged hill slant.","Incorrect-frequentist  whole population"
"143",110,1,1,2,"Sokol-Hessner, P., Lackovic, S. F., Tobe, R. H., Camerer, C. F., Leventhal, B. L., & Phelps, E. A. (2015). Determinants of Propranolol’s Selective Effect on Loss Aversion. Psychological Science, 26(7), 11231130. http://doi.org/10.1177/0956797615582026","http://pss.sagepub.com/content/26/7/1123.abstract","T-Test for slopes",NA,NA,NA,"0.31","1127","No significant effects were identified when we performed the same regression on risk attitudes (<U+03C1>)—day: ß<U+2009>= -0.06, p = .21, 95% CI = [-0.14, 0.03]; medication: ß = -0.05, p = .31, 95% CI = [-0.13, 0.04]; BMI group: ß = 0.06, p = .21, 95% CI = [-0.03, 0.14]; Medication × BMI group: ß = -0.01, p = .74, 95% CI = [-0.10, 0.07]. Similarly, the regression predicting choice consistency (µ), using log(µ), revealed no significant effects—day: ß = 0.26, p = .11, 95% CI = [-0.06, 0.59]; medication: ß = -0.03, p = .87, 95% CI = [-0.35, 0.30]; BMI group: ß = -0.29, p = .09, 95% CI = [-0.61, 0.04]; Medication × BMI group: ß = 0.12, p = .46, 95% CI = [-0.20, 0.45].","Propranolol selectively reduced loss aversion in a baseline- and dose-dependent manner (i.e., as a function of initial loss aversion and body mass index), and did not affect risk attitudes or choice consistency.","Incorrect-frequentist  current sample"
"144",110,1,2,2,"Sokol-Hessner, P., Lackovic, S. F., Tobe, R. H., Camerer, C. F., Leventhal, B. L., & Phelps, E. A. (2015). Determinants of Propranolol’s Selective Effect on Loss Aversion. Psychological Science, 26(7), 11231130. http://doi.org/10.1177/0956797615582026
","http://pss.sagepub.com/content/26/7/1123.abstract","T-Test for slopes",NA,NA,NA,"0.21","1127","No significant effects were identified when we performed the same regression on risk attitudes (<U+03C1>)—day: ß<U+2009>= -0.06, p = .21, 95% CI = [-0.14, 0.03]; medication: ß = -0.05, p = .31, 95% CI = [-0.13, 0.04]; BMI group: ß = 0.06, p = .21, 95% CI = [-0.03, 0.14]; Medication × BMI group: ß = -0.01, p = .74, 95% CI = [-0.10, 0.07]. Similarly, the regression predicting choice consistency (µ), using log(µ), revealed no significant effects—day: ß = 0.26, p = .11, 95% CI = [-0.06, 0.59]; medication: ß = -0.03, p = .87, 95% CI = [-0.35, 0.30]; BMI group: ß = -0.29, p = .09, 95% CI = [-0.61, 0.04]; Medication × BMI group: ß = 0.12, p = .46, 95% CI = [-0.20, 0.45].","Propranolol selectively reduced loss aversion in a baseline- and dose-dependent manner (i.e., as a function of initial loss aversion and body mass index), and did not affect risk attitudes or choice consistency.","Incorrect-frequentist  current sample"
"145",111,1,1,2,"Song, J.-H., & Bédard, P. (2015). Paradoxical Benefits of Dual-Task Contexts for Visuomotor Memory. Psychological Science, 26(2), 148158. http://doi.org/10.1177/0956797614557868
","http://pss.sagepub.com/content/26/2/148.abstract","ANOVA",NA,NA,NA,"0.55","152","There was no significant main effect of group, F(2, 24) = 0.62, p = .55, <U+03B7>p 2 = .05, but there was an expected significant main effect of block, F(39, 936) = 23.9, p < .0001, <U+03B7>p 2 = .5, indicating visuomotor adaptation.","However, using a dual-task paradigm, we showed that the rate of visuomotor learning was the same regardless of attentional distraction caused by a secondary task.","Incorrect-frequentist  current sample"
"146",112,1,1,1,"Souza, A. S., & Oberauer, K. (2014). Time-based forgetting in visual working memory reflects temporal distinctiveness, not decay. Psychonomic Bulletin & Review, 22(1), 156162. https://doi.org/10.3758/s13423-014-0652-z
","http://link.springer.com/article/10.3758/s13423-014-0652-z","Bayesian analysis",NA,NA,NA,NA,NA,NA,"Mixture modeling revealed that lower temporal distinctiveness produced a lower probability of reporting the target, but no changes in its precision in memory.","Incorrect-frequentist  current sample"
"147",113,1,1,1,"Spataro, P., Mulligan, N. W., & Rossi-Arnaud, C. (2015). Limits to the attentional boost effect: the moderating influence of orthographic distinctiveness. Psychonomic Bulletin & Review, 22(4), 987992.","http://link.springer.com/article/10.3758/s13423-014-0767-2","ANOVA",NA,NA,NA,"0.48","990","in the DA condition, the ABE was significant for LF-OC words [F(1, 32) = 7.59, p <U+2264> 0.01, <U+03B7>p2 = 0.19], with recognition being better for words encoded with targets than for words encoded with distractors (M = 0.44 vs. M = 0.32), whereas there was no hint of an ABE for LF-OD words [F(1, 32) = 0.52, p = 0.48; see Fig. 1];","Results revealed that the ABE was significant for low-frequency words with common orthographic features, but not for low-frequency words with rare orthographic features. ; These findings are in line with the proposal that the ABE-related attentional enhancement occurs during an early phase of stimulus perception and comprehension, as well as with the proposal that the ODE is mediated by high-level, attention demanding comparative processes.","Incorrect-frequentist  whole population"
"148",114,1,1,1,"Stevenson, R. J., & Mahmut, M. (2015). Why does the sense of smell vanish in the mouth? Testing predictions from two accounts. Psychonomic Bulletin & Review, 22(4), 955960.","http://link.springer.com/article/10.3758/s13423-014-0785-0","Post-hoc T-Test",NA,NA,NA,NA,"958","This finding suggests that odor type moderates the effect of the tastant, implying that both processes are at work. Indeed, for not-sweet smells, reliability was poorer for water-water trials than for those smelled with a tastant, t(38) = 2.71, p = 0.01, d = 0.43, but this was not the case for sweet smells (t = 1.2).","For sweet smells, tastant had no effect, which we suggest represents a cancelling out of the beneficial effects of the common attentional channel by the detrimental effects of prior learning.","Incorrect-frequentist  whole population"
"149",115,1,1,2,"Storm, B. C., & Stone, S. M. (2015). Saving-Enhanced Memory: The Benefits of Saving on the Learning and Remembering of New Information. Psychological Science, 26(2), 182188. http://doi.org/10.1177/0956797614559285
","http://pss.sagepub.com/content/26/2/182.abstract","Paired Samples T-Test","0",24,NA,"1","185","Specifically, participants in the unreliable condition did 
not recall more words from File B when they had saved 
File A than when they had not saved File A, t(23) = 0.00, 
p = 1.00, d = 0.00, mean difference = .00, 95% CI = [-.07, 
.07].","Notably, this effect was not observed when the saving process was deemed unreliable or when the contents of the to-be-saved file were not substantial enough to interfere with memory for the new file.","Correct-frequentist"
"150",115,1,2,2,"Storm, B. C., & Stone, S. M. (2015). Saving-Enhanced Memory: The Benefits of Saving on the Learning and Remembering of New Information. Psychological Science, 26(2), 182188. http://doi.org/10.1177/0956797614559285
","http://pss.sagepub.com/content/26/2/182.abstract","Paired Samples T-Test","0.4",24,NA,"0.69","186","When File A consisted of only two words, participants did not recall significantly more words from File B after they had saved File A than after they had not saved File A, t(23) = 0.40, p = .69, d = 0.08, mean difference = .01 (95% CI = [-.05, .07]).","Notably, this effect was not observed when the saving process was deemed unreliable or when the contents of the to-be-saved file were not substantial enough to interfere with memory for the new file.","Correct-frequentist"
"151",116,1,1,3,"Strickland, B., & Scholl, B. J. (2015). Visual perception involves event-type representations: The case of containment versus occlusion. Journal of Experimental Psychology: General, 144(3), 570.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-15675-001","Planned Comparision T-Test",NA,NA,NA,"0.417","575","For containment events, width changes were detected marginally more often than height changes (57.31% vs. 45.93%), t(8) = 2.29, p = .052, <U+03B7>p2= .395, but no such difference obtained for occlusion events (48.34% vs. 43.40%), t(8) = 0.86, p = .417, <U+03B7>p2= .084.","Mirroring the developmental progression, change detection was better for width versus height changes in containment events, but no such difference was found for otherwise equivalent occlusion events, even though most observers were not even aware of the subtle occlusioncontainment difference.","Correct-frequentist"
"152",117,1,1,1,"Sui, J., & Humphreys, G. W. (2014). Super-size me: self biases increase to larger stimuli. Psychonomic Bulletin & Review, 22(2), 550558. https://doi.org/10.3758/s13423-014-0690-6
","http://link.springer.com/article/10.3758/s13423-014-0690-6","ANOVA",NA,NA,NA,"0.95","554","Critically, the interaction of association and sizeprobability was not significant, F(4, 64) = 0.18, p = .95, <U+03B7>2 = .01. The data indicate that the manipulation of stimulus size did not impact on the reward biases.","Although we observed a correlation between the magnitudes of the self and reward biases over participants, reward-bias effects were not increased to large stimuli.","Incorrect-frequentist  current sample"
"153",118,1,1,1,"Susser, J. A., & Mulligan, N. W. (2015). The effect of motoric fluency on metamemory. Psychonomic Bulletin & Review, 22(4), 10141019.","http://link.springer.com/article/10.3758/s13423-014-0768-1","Paired Samples T-Test",NA,60,NA,"0.458","1018","A paired-samples t test on predictions revealed no difference between dominant (M = 46.80%,SE = 2.53) and nondominant (M = 49.37%, SE = 2.75) items, t < 1. This result suggests that people do not have a priori beliefs about an effect of hand dominance on memory and therefore indicates that the results of Experiments 1 and 2 were not driven by any such beliefs.","A questionnaire-based study suggested that the effect of motoric fluency on predictions was not due to peoples’ a priori beliefs about memory.","Incorrect-frequentist  current sample"
"154",118,2,1,1,"Susser, J. A., & Mulligan, N. W. (2015). The effect of motoric fluency on metamemory. Psychonomic Bulletin & Review, 22(4), 10141019.","http://link.springer.com/article/10.3758/s13423-014-0768-1","ANOVA",NA,NA,NA,NA,"1016","Lastly, a 2 (hand) × 2 (word frequency) ANOVA conducted on participants’ recall scores (Table 2) revealed no main effect of hand, F< 1, or word frequency, F(1, 15) = 1.90, p = .189, MSE = 0.01, <U+03B7>2p = 0.11, but a significant interaction between the two, F(1, 15) = 6.91, p = .019,MSE = 0.01, <U+03B7>2p = 0.32.","Participants predicted better memory for fluently written than nonfluently written stimuli despite no differences in actual recall.","Incorrect-frequentist  current sample"
"155",119,1,1,3,"Tasimi, A., & Johnson, M. K. (2015). A self-serving bias in children’s memories? Journal of Experimental Psychology: General, 144(3), 528.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-24174-001","Independent Samples T-Test","0.1",26,26,"0.92","530","Children’s reports did not differ between an adult’s giving (M = —0.23) and a child’s giving (M = -0.20), t(50) = 0.10,p = .92, d = .03. In contrast, children overestimated a child’s taking (M = 1.41) in comparison to an adult’s taking (M = 0.16), t(50) = 3.21, p = .002, d = .89. There was no correlation between age and difference scores in the Other-Take condition, Pearson r = -24,p = .23.","Notably, this pattern of misremembering occurred only when children recalled the actions of a child but not an adult.","Incorrect-frequentist  current sample"
"156",120,1,1,1,"Tran, R., Rohrer, D., & Pashler, H. (2014). Retrieval practice: the lack of transfer to deductive inferences. Psychonomic Bulletin & Review, 22(1), 135140. https://doi.org/10.3758/s13423-014-0646-x
","http://link.springer.com/article/10.3758/s13423-014-0646-x","Paired Samples T-Test","1.35",68,NA,"0.18","137","However, performance was not significantly different between the reread condition (M=0.80, SEM=0.02) and the retrieval practice condition (M=0.77, SEM=0.02), t(67)=1.35, p=.18. The effect size was g*=0.16 favoring rereading, 95 % CI [-0.08, 0.40]. Experiment 1 demonstrated that there was no benefit of retrieval practice on the final inference assessment.","However, performance on multiple-choice inference questions showed no enhancement from retrieval practice.","Incorrect-frequentist  current sample"
"157",120,1,2,1,"Tran, R., Rohrer, D., & Pashler, H. (2014). Retrieval practice: the lack of transfer to deductive inferences. Psychonomic Bulletin & Review, 22(1), 135140. https://doi.org/10.3758/s13423-014-0646-x
","http://link.springer.com/article/10.3758/s13423-014-0646-x","Paired Samples T-Test","0.36",40,NA,"0.72","137","Again, we found no benefit of retrieval practice on inference questions. As with Experiment 1, participants in Experiment 2 performed above chance (M = 0.54, SEM = 0.03), t(39) = 10.05, p < .001, 95 % CI [0.48, 0.61]. The assessment performances on inferences for rereading (M = 0.55, SEM = 0.04) and retrieval practice (M = 0.54, SEM = 0.03) were nearly identical with no significant difference, t(39) = 0.36, p = .72, g* = 0.06, 95 % CI [-0.25, 0.37].","However, performance on multiple-choice inference questions showed no enhancement from retrieval practice.","Incorrect-frequentist  current sample"
"158",120,1,3,1,"Tran, R., Rohrer, D., & Pashler, H. (2014). Retrieval practice: the lack of transfer to deductive inferences. Psychonomic Bulletin & Review, 22(1), 135140. https://doi.org/10.3758/s13423-014-0646-x
","http://link.springer.com/article/10.3758/s13423-014-0646-x","Paired Samples T-Test","1.75",84,NA,"0.08","139","Again, we found no significant performance difference between the retrieval practice condition (M = 0.50, SEM = 0.02) and reread condition (M = 0.53, SEM = 0.02) on the final inference assessment, t(83) = 1.75, p = .08, g* = 0.19, 95 % CI [-0.03, 0.40] (see Fig. 3).","However, performance on multiple-choice inference questions showed no enhancement from retrieval practice.","Incorrect-frequentist  current sample"
"159",121,1,1,3,"Vallée-Tourangeau, G., Abadie, M., & Vallée-Tourangeau, F. (2015). Interactivity fosters Bayesian reasoning without instruction. Journal of Experimental Psychology: General, 144(3), 581.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-24174-005","Chi-squared",NA,NA,NA,"0.41","589","This success rate dropped to 28% using the fully fleshed out natural frequency version although this decrease in performance was not significant, <U+03A7>2(1, N = 35) = .70, p = .41.","Improved statistical reasoning was not simply a matter of making all sets and subsets explicit in the pack of cards (Experiment 3), it was not merely due to the discrete and countable layout resulting from the cards manipulation, and it was not mediated by participants’ level of engagement with the task (Experiment 5).","Incorrect-frequentist  current sample"
"160",122,1,1,1,"Van der Wel, R. P. R. D., & Fu, E. (2015). Entrainment and task co-representation effects for discrete and continuous action sequences. Psychonomic Bulletin & Review, 22(6), 16851691. doi:10.3758/s13423-015-0831-6","http://link.springer.com/article/10.3758/s13423-015-0831-6","ANOVA",NA,NA,NA,NA,"1688","We found no other significant main effects or interactions.","Space did not have an effect.","Incorrect-frequentist  current sample"
"161",123,1,1,1,"Van Dijck, J.-P., Fias, W., & Andres, M. (2014). Selective interference of grasp and space representations with number magnitude and serial order processing. Psychonomic Bulletin & Review, 22(5), 13701376. doi:10.3758/s13423-014-0788-x","http://link.springer.com/article/10.3758/s13423-014-0788-x","ANOVA",NA,NA,NA,"0.79","1373","There was no interaction between ORIDINAL POSITION and RESPONSE [F(4,80) = .43, p = .79, <U+03B7>2 = .021] and no three-way interaction [F(16, 320; 7.488, 149.760)1 = .65, p = .72, <U+03B7>2 = .032] (see Fig. 2).","Experiment 1 showed that precision grips were initiated faster than wholehand grips in response to small numbers, irrespective of their serial position in WM","Incorrect-frequentist  current sample"
